0,1
ABT,ES
ABT,ETN
ABT,ETR
ABT,EVRG
ABT,EXC
ABT,EXPD
ABT,EXR
ABT,FAST
ABT,FDS
ABT,FDX
ABT,FMC
ABT,GD
ABT,GEN
ABT,GILD
ABT,GIS
ABT,GL
ABT,GLW
ABT,GOOG
ABT,GOOGL
ABT,GPC
ABT,GRMN
ABT,GS
ABT,GWW
ABT,HD
ABT,HOLX
ABT,HON
ABT,HRL
ABT,HSIC
ABT,HSY
ABT,HUM
ABT,IBM
ABT,ICE
ABT,IDXX
ABT,IEX
ABT,INVH
ABT,IQV
ABT,IR
ABT,ISRG
ABT,ITW
ABT,J
ABT,JBHT
ABT,JCI
ABT,JKHY
ABT,JNJ
ABT,JNPR
ABT,K
ABT,KDP
ABT,KEYS
ABT,KHC
ABT,KMB
ABT,KO
ABT,KR
ABT,LDOS
ABT,LH
ABT,LHX
ABT,LIN
ABT,LMT
ABT,LNT
ABT,MA
ABT,MAA
ABT,MCD
ABT,MCO
ABT,MDLZ
ABT,MKC
ABT,MLM
ABT,MMC
ABT,MNST
ABT,MO
ABT,MRK
ABT,MSFT
ABT,MSI
ABT,MTD
ABT,NDAQ
ABT,NDSN
ABT,NEE
ABT,NEM
ABT,NI
ABT,NKE
ABT,NOC
ABT,NSC
ABT,NWS
ABT,NWSA
ABT,OMC
ABT,ORCL
ABT,ORLY
ABT,PAYX
ABT,PCAR
ABT,PEG
ABT,PEP
ABT,PFE
ABT,PG
ABT,PGR
ABT,PKG
ABT,PKI
ABT,PLD
ABT,PM
ABT,POOL
ABT,PSA
ABT,RE
ABT,REGN
ABT,RHI
ABT,RMD
ABT,ROK
ABT,ROL
ABT,ROP
ABT,RSG
ABT,SBAC
ABT,SBUX
ABT,SEE
ABT,SHW
ABT,SJM
ABT,SNA
ABT,SO
ABT,SPGI
ABT,SRE
ABT,STE
ABT,STZ
ABT,SYK
ABT,TDY
ABT,TECH
ABT,TEL
ABT,TGT
ABT,TJX
ABT,TMO
ABT,TMUS
ABT,TRV
ABT,TT
ABT,TXN
ABT,UNH
ABT,UNP
ABT,UPS
ABT,V
ABT,VMC
ABT,VRSK
ABT,VRSN
ABT,VRTX
ABT,WAB
ABT,WAT
ABT,WEC
ABT,WM
ABT,WMT
ABT,WRB
ABT,WST
ABT,WTW
ABT,XEL
ABT,XYL
ABT,YUM
ABT,ZTS
ACGL,ACN
ACGL,ADI
ACGL,ADM
ACGL,ADP
ACGL,AEE
ACGL,AEP
ACGL,AFL
ACGL,AJG
ACGL,ALL
ACGL,AMCR
ACGL,AME
ACGL,AMGN
ACGL,AON
ACGL,AOS
ACGL,APD
ACGL,APH
ACGL,ATO
ACGL,ATVI
ACGL,AVY
ACGL,AWK
ACGL,AZO
ACGL,BDX
ACGL,BF-B
ACGL,BIO
ACGL,BLK
ACGL,BMY
ACGL,BR
ACGL,BRK-B
ACGL,BRO
ACGL,BSX
ACGL,CAG
ACGL,CAH
ACGL,CAT
ACGL,CB
ACGL,CBOE
ACGL,CCI
ACGL,CDW
ACGL,CHD
ACGL,CHRW
ACGL,CI
ACGL,CL
ACGL,CLX
ACGL,CMI
ACGL,CMS
ACGL,CNC
ACGL,CNP
ACGL,COO
ACGL,COST
ACGL,CPB
ACGL,CPRT
ACGL,CPT
ACGL,CSCO
ACGL,CSGP
ACGL,CSX
ACGL,CTAS
ACGL,CVS
ACGL,DD
ACGL,DG
ACGL,DGX
ACGL,DHR
ACGL,DOV
ACGL,DPZ
ACGL,DTE
ACGL,DUK
ACGL,EA
ACGL,EBAY
ACGL,ED
ACGL,EFX
ACGL,EL
ACGL,EMN
ACGL,EMR
ACGL,EQIX
ACGL,ES
ACGL,ETN
ACGL,ETR
ACGL,EVRG
ACGL,EXC
ACGL,EXPD
ACGL,EXR
ACGL,FAST
ACGL,FDS
ACGL,FDX
ACGL,FMC
ACGL,GD
ACGL,GEN
ACGL,GILD
ACGL,GIS
ACGL,GL
ACGL,GLW
ACGL,GOOG
ACGL,GOOGL
ACGL,GPC
ACGL,GRMN
ACGL,GS
ACGL,GWW
ACGL,HD
ACGL,HOLX
ACGL,HON
ACGL,HRL
ACGL,HSIC
ACGL,HSY
ACGL,HUM
ACGL,IBM
ACGL,ICE
ACGL,IDXX
ACGL,IEX
ACGL,INVH
ACGL,IQV
ACGL,IR
ACGL,ISRG
ACGL,ITW
ACGL,J
ACGL,JBHT
ACGL,JCI
ACGL,JKHY
ACGL,JNJ
ACGL,JNPR
ACGL,K
ACGL,KDP
ACGL,KEYS
ACGL,KHC
ACGL,KMB
ACGL,KO
ACGL,KR
ACGL,LDOS
ACGL,LH
ACGL,LHX
ACGL,LIN
ACGL,LMT
ACGL,LNT
ACGL,MA
ACGL,MAA
ACGL,MCD
ACGL,MCO
ACGL,MDLZ
ACGL,MKC
ACGL,MLM
ACGL,MMC
ACGL,MNST
ACGL,MO
ACGL,MRK
ACGL,MSFT
ACGL,MSI
ACGL,MTD
ACGL,NDAQ
ACGL,NDSN
ACGL,NEE
ACGL,NEM
ACGL,NI
ACGL,NKE
ACGL,NOC
ACGL,NSC
ACGL,NWS
ACGL,NWSA
ACGL,OMC
ACGL,ORCL
ACGL,ORLY
ACGL,PAYX
ACGL,PCAR
ACGL,PEG
ACGL,PEP
ACGL,PFE
ACGL,PG
ACGL,PGR
ACGL,PKG
ACGL,PKI
ACGL,PLD
ACGL,PM
ACGL,POOL
ACGL,PSA
ACGL,RE
ACGL,REGN
ACGL,RHI
ACGL,RMD
ACGL,ROK
ACGL,ROL
ACGL,ROP
ACGL,RSG
ACGL,SBAC
ACGL,SBUX
ACGL,SEE
ACGL,SHW
ACGL,SJM
ACGL,SNA
ACGL,SO
ACGL,SPGI
ACGL,SRE
ACGL,STE
ACGL,STZ
ACGL,SYK
ACGL,TDY
ACGL,TECH
ACGL,TEL
ACGL,TGT
ACGL,TJX
ACGL,TMO
ACGL,TMUS
ACGL,TRV
ACGL,TT
ACGL,TXN
ACGL,UNH
ACGL,UNP
ACGL,UPS
ACGL,V
ACGL,VMC
ACGL,VRSK
ACGL,VRSN
ACGL,VRTX
ACGL,WAB
ACGL,WAT
ACGL,WEC
ACGL,WM
ACGL,WMT
ACGL,WRB
ACGL,WST
ACGL,WTW
ACGL,XEL
ACGL,XYL
ACGL,YUM
ACGL,ZTS
ACN,ADI
ACN,ADM
ACN,ADP
ACN,AEE
ACN,AEP
ACN,AFL
ACN,AJG
ACN,ALL
ACN,AMCR
ACN,AME
ACN,AMGN
ACN,AON
ACN,AOS
ACN,APD
ACN,APH
ACN,ATO
ACN,ATVI
ACN,AVY
ACN,AWK
ACN,AZO
ACN,BDX
ACN,BF-B
ACN,BIO
ACN,BLK
ACN,BMY
ACN,BR
ACN,BRK-B
ACN,BRO
ACN,BSX
ACN,CAG
ACN,CAH
ACN,CAT
ACN,CB
ACN,CBOE
ACN,CCI
ACN,CDW
ACN,CHD
ACN,CHRW
ACN,CI
ACN,CL
ACN,CLX
ACN,CMI
ACN,CMS
ACN,CNC
ACN,CNP
ACN,COO
ACN,COST
ACN,CPB
ACN,CPRT
ACN,CPT
ACN,CSCO
ACN,CSGP
ACN,CSX
ACN,CTAS
ACN,CVS
ACN,DD
ACN,DG
ACN,DGX
ACN,DHR
ACN,DOV
ACN,DPZ
ACN,DTE
ACN,DUK
ACN,EA
ACN,EBAY
ACN,ED
ACN,EFX
ACN,EL
ACN,EMN
ACN,EMR
ACN,EQIX
ACN,ES
ACN,ETN
ACN,ETR
ACN,EVRG
ACN,EXC
ACN,EXPD
ACN,EXR
ACN,FAST
ACN,FDS
ACN,FDX
ACN,FMC
ACN,GD
ACN,GEN
ACN,GILD
ACN,GIS
ACN,GL
ACN,GLW
ACN,GOOG
ACN,GOOGL
ACN,GPC
ACN,GRMN
ACN,GS
ACN,GWW
ACN,HD
ACN,HOLX
ACN,HON
ACN,HRL
ACN,HSIC
ACN,HSY
ACN,HUM
ACN,IBM
ACN,ICE
ACN,IDXX
ACN,IEX
ACN,INVH
ACN,IQV
ACN,IR
ACN,ISRG
ACN,ITW
ACN,J
ACN,JBHT
ACN,JCI
ACN,JKHY
ACN,JNJ
ACN,JNPR
ACN,K
ACN,KDP
ACN,KEYS
ACN,KHC
ACN,KMB
ACN,KO
ACN,KR
ACN,LDOS
ACN,LH
ACN,LHX
ACN,LIN
ACN,LMT
ACN,LNT
ACN,MA
ACN,MAA
ACN,MCD
ACN,MCO
ACN,MDLZ
ACN,MKC
ACN,MLM
ACN,MMC
ACN,MNST
ACN,MO
ACN,MRK
ACN,MSFT
ACN,MSI
ACN,MTD
ACN,NDAQ
ACN,NDSN
ACN,NEE
ACN,NEM
ACN,NI
ACN,NKE
ACN,NOC
ACN,NSC
ACN,NWS
ACN,NWSA
ACN,OMC
ACN,ORCL
ACN,ORLY
ACN,PAYX
ACN,PCAR
ACN,PEG
ACN,PEP
ACN,PFE
ACN,PG
ACN,PGR
ACN,PKG
ACN,PKI
ACN,PLD
ACN,PM
ACN,POOL
ACN,PSA
ACN,RE
ACN,REGN
ACN,RHI
ACN,RMD
ACN,ROK
ACN,ROL
ACN,ROP
ACN,RSG
ACN,SBAC
ACN,SBUX
ACN,SEE
ACN,SHW
ACN,SJM
ACN,SNA
ACN,SO
ACN,SPGI
ACN,SRE
ACN,STE
ACN,STZ
ACN,SYK
ACN,TDY
ACN,TECH
ACN,TEL
ACN,TGT
ACN,TJX
ACN,TMO
ACN,TMUS
ACN,TRV
ACN,TT
ACN,TXN
ACN,UNH
ACN,UNP
ACN,UPS
ACN,V
ACN,VMC
ACN,VRSK
ACN,VRSN
ACN,VRTX
ACN,WAB
ACN,WAT
ACN,WEC
ACN,WM
ACN,WMT
ACN,WRB
ACN,WST
ACN,WTW
ACN,XEL
ACN,XYL
ACN,YUM
ACN,ZTS
